signal_id,created_at,symbol,side,price,score,entry,stop,tp1,tp2,rr1,rr2,turnover24h_m,change24h_pct,funding_pct,btc_regime,btc_score_delta,oi_change_pct,price_change_oi_window_pct,oi_score_delta,oi_signal,reason,selected,manual_comment,smc_score_delta,smc_bias,smc_event,smc_zone,smc_reason
20260515_121226_XRPUSDT_LONG,2026-05-15T09:12:26.465394+00:00,XRPUSDT,long,1.4671,9,1.4597645 - 1.4700342,1.4030495,1.5496,1.595201,1.29,2.0,770.3,2.33,0.0025,BTC 4H supportive,1,-0.21,-1.21,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_121226_DOGEUSDT_LONG,2026-05-15T09:12:26.465394+00:00,DOGEUSDT,long,0.11507,9,0.11449465 - 0.11530014,0.10579835,0.11859,0.1336133,0.38,2.0,453.8,1.7,0.0,BTC 4H supportive,1,-0.43,3.72,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_121226_ZECUSDT_LONG,2026-05-15T09:12:26.465394+00:00,ZECUSDT,long,536.17,9,533.48915 - 537.24234,510.50885714,587.49228571,605.82,2.0,2.71,196.9,2.49,-0.0115,BTC 4H supportive,1,-4.85,-2.87,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",,,,,,,
20260515_121226_SUIUSDT_LONG,2026-05-15T09:12:26.465394+00:00,SUIUSDT,long,1.1452,9,1.139474 - 1.1474904,1.10609714,1.22340571,1.4132,2.0,6.85,123.5,-4.22,0.01,BTC 4H supportive,1,-5.24,-10.39,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",,,,,,,
20260515_121226_TONUSDT_LONG,2026-05-15T09:12:26.465394+00:00,TONUSDT,long,2.0824,9,2.071988 - 2.0865648,1.99428571,2.25862857,2.5067,2.0,4.82,111.3,-0.93,-0.001,BTC 4H supportive,1,2.68,-12.18,0,OI neutral,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",,,,,,,
20260518_090230_HYPEUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,HYPEUSDT,short,45.399,9,45.308202 - 45.625995,47.53449,41.12802,38.15,2.0,3.39,516.7,6.17,0.0074,BTC 4H structure broken,2,1.28,16.74,0,OI neutral,"near resistance, RSI not oversold, BTC supportive for short, RR1 >= 1.5, RR2 >= 2, funding ok",yes,,,,,,
20260518_090230_XAUTUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,XAUTUSDT,short,4528.2,9,4519.1436 - 4550.841,4731.4395,4477.1,4121.721,0.25,2.0,91.5,0.07,0.0005,BTC 4H structure broken,2,3.94,-3.39,1,price down + OI up: short confirmation,"1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms",yes,,,,,,
20260518_090230_ZECUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,ZECUSDT,short,530.3,7,529.2394 - 532.9515,572.1264,485.0,446.6472,1.08,2.0,179.3,3.27,0.0085,BTC 4H structure broken,2,-9.3,2.37,0,price up + OI down: short covering,"near resistance, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok",yes,,,,,,
20260518_090230_BSBUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,BSBUSDT,short,0.6427,6,0.6414146 - 0.6459135,0.71208571,0.50392857,0.371,2.0,3.92,113.7,38.3,0.0119,BTC 4H structure broken,2,46.42,53.6,-2,price up + OI up: short pressure,"near resistance, BTC supportive for short, RR1 >= 1.5, RR2 >= 2, funding ok, OI pressure",,,,,,,
20260518_090230_TONUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,TONUSDT,short,1.9461,6,1.9422078 - 1.9558305,2.2971285,1.858,1.244043,0.25,2.0,100.2,0.72,0.005,BTC 4H structure broken,2,2.75,-7.24,0,OI neutral,"4H below EMA50, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok",,,,,,,
